date,title,tags,description,author
Thursday 23 July,Reahl: The Python-only web framework,"web,open-source","Reahl is a full-featured web framework with a twist: with Reahl you write a web application purely in Python. HTML, JavaScript, CSS and all those cumbersome web technologies (and a few other lower level concerns) are hidden away from you. As far as web frameworks go this is truly a paradigm shift: away from the cobwebs of all the different web technologies, template languages and low-level details – towards being able to focus on the goals at hand instead, using a single language.,In this talk I will give you a brief idea of what Reahl is all about: why it is worthwhile doing, how it works, where we are and what still needs to be done. I hope to convince you that this is an important direction for web frameworks, and of how unique Reahl is. Developing such an abstract framework is an ambitious goal. I’d like to convey the message that what we have achieved so far, and the strategy lessons learnt along the way demonstrate this goal to be realistic and practical.",Iwan Vosloo
Thursday 23 July,Raspberry Pi Weather Station,"weather,education,python3,python2","The Raspberry Pi weather station project introduces young people to  using python programming to  solve real and technical problems. The weather station consists of a range of sensors including:
Anemometer
Rain gauge
Wind Vane
Temperature Probe
Barometer
Air Quality Sensor
Hygrometer,1000 kits are being given away to schools to take part in the project by following our schemes of work which will involve.
Programming basic interrupt based sensors
Advanced Sensors using ADC chips
Create a pygame based UI
Logging data to MySQL and Oracle Apex
Presenting data to a web app
Deploying the weather station
Integrating Apex database,We would love feedback on the project from Python Developers and support in updating some libraries from python 2 to 3.",James Robinson
Thursday 23 July,PythonAnywhere and Education,education,"Python may be the ideal language for teaching because of its simplicity and readability, but actually getting a working and consistent development environment installed on a diverse set of student (or school) computers can be less than straightforward. And then there’s pip, numpy, scipy, windows vs unix command lines…,As a result, we’ve had lots of teachers coming to PythonAnywhere over the years, to skip all these problems. We’ve recently started adding some extra features to help teachers and students which we’re keen to share with the EuroPython audience.",Harry Percival
Thursday 23 July,Python's Infamous GIL,"GIL,cpython","You’ve heard about Python’s GIL.  But what is it really?  What does it do, both good and bad?,Come learn all about the Python GIL.  You’ll learn about its history, all the problems it solves, all the problems it causes (that we know about!), and what it would take to remove the GIL.,Attendees should be familiar with the terrors inherent in multithreaded programming, and be comfortable with a little C code in the slides.",Larry Hastings
Wednesday 22 July,Python Security & Cryptography,"algorithm,cryptography,python,django,best-practices,security","The talk would aim to introduce cryptography and security from the developer point of view, showing ways to encrypt information with Python scripts and more sensitive information in web applications using django.,I will introduce to security in python ,showing some libraries that allow encryption and decryption like PyCrypto or M2Crypto,comparing theses libraries with the cryptography module.At the same time,I will show the main ciphers and hashing  algorithms used in these libraries like AES,DES,RSA and some examples illustrating each case.I wil show other techniques like steganography for hiding information in files(images,documents,programs) with some libraries like Stepic or ezPyCrypto. ,Finally,I will comment OWASP Python Security Project where we can find some useful practices
and secure coding guidelines for detecting  potential security vulnerabilities  in our applications like SQL injection or Cross-site scripting.,Slides,https://speakerdeck.com/jmortega/python-cryptography-and-security",Jose Ortega
Tuesday 21 July,Python Not Recommended,"data-science,pika,tornado,case study,collins,pandas,sklearn","Braintree is a Ruby shop. By default, we use Ruby and Rails for projects. We also use Ruby-based projects for much of our tooling, including puppet, capistrano, and rake. However, we strongly believe in using the right tool for the job. What that means has evolved over ti
me, and I’ll discuss what solutions we chose in the past as well as our current choices.,So what’s it like doing Python at a Ruby shop? You get lots of jokes about language features Ruby has but Python lacks and lots of disbelief that Python will survive the 2/3 split. People also tend to apply the best practices and conventions of Ruby to Python code as if t
hey were the same. Python’s major inroad at Braintree has been, surprisingly enough, as a platform for high-concurrency situations. This is a direct result of the power of Tornado as a platform for asynchronous I/O. It also helps that many Python is very approachable and 
many developers have at least some experience with it.,Braintree has three pieces of our infrastructure using Python and Tornado – an incoming request proxy; an outgoing request proxy; and a webook delivery service. They’ve served us well for 3+ years but all suffer from a number of problems. The outdated concurrency feature
s of CPython / Python 2 as well as our lack of experience with and commitment to Tornado have always been an issue. As the meat of the talk, I’ll speak in depth about the other issues we’ve encountered with each of the three applications and our short- and long- term solu
tions to the problems.,The state as of the end of 2014 appeared dire for Python at Braintree. All the old Python code in our stack is on the way out, and Python has been specifically recommended agaist for new projects. Our Python client library is used by some of our largest merchants, and is 
ready for the future by supporting Python 2.6+ and Python 3.3+ in a single codebase. We also have a vibrant Python community at Venmo, our sister company. Both Braintree and Venmo support Python by attending, hosting, sponsoring, and speaking at meetups, conferences, and 
other events in Chicago, New York, and elsewhere. At Braintree, our Data Science team uses Python almost exclusively and they’re becoming a bigger part of our business every day. We also use custom tooling written in Python to manage our infrastructure.",Adam Forsyth
Monday 20 July,Python Multithreading and Multiprocessing: Concurrency and Parallelism,"Best Practice,Parallelism,concurrency,linux,multi-processing,multi-threading","In this talk, people will get introduced to python threading and multiprocessing packages. This talk will cover multiprocessing/threaded development best practices, problems occurs in development, things to know before multiprocessing/multi-threading. After this talk attendees will be able to develop multiprocessing/threaded applications. ,This talk will cover threads, global interpreter lock, thread pool, processes, process pool, synchronization locks - Lock & RLock , semaphores, events, condition, timer, pipes, queue, shared memory. This talk will also cover best practices and problems in multiprocessing and threaded application development. ",Hitul Mistry
Thursday 23 July,Python microservices on PaaS done right,"metrics,performance,automation,cloud,PaaS","Lately, there’s a lot of talk about microservices but not enough concrete examples and case studies. I want to change that by showing:,how thinking in PaaS terms can lead to robust and scalable designs;,what infrastructure and automation you need to set up to go along smoothly;,how to get real time metrics of your apps; ,what makes Python good for microservices;,what is Python’s performance relative to some alternatives.,Prerequisites for the talk:,some experience with web development in Python;,basic knowledge of RESTful web services.",Michał Bultrowicz
Friday 24 July,Python in the world of retail and mail order,"data-science,redis,automation,case study,scipy,pytest,deployment,configuration,pandas,sklearn","At Blue Yonder a lot of different python packages, provided by the community,
 as well as  our own self-written packages, are used in order to provide flexible 
solutions to our problems.,In this talk I’ll present a walkthrough of a generic python application example
 for demand and purchase order quantity calculations, putting together 
those packages in an orderly way.
The example will feature real world problems derived from hands-on experience 
with our retail and mail order customers. 
Additionally the talk addresses the subjects of testing, configuring, parallelising 
and deploying the code.,Packages used in this talk are :",Philipp Mack
Monday 20 July,Python in the Sky: In-Flight Entertainment with Python,"postgresql,fabric,python,distributed-systems,redis,django,celery,api,aviation","Case study of ,Immfly,’s Wireless In-Flight Entertainment system, built using Python.,This talk will show the basic requirements for the system and the architecture decisions we took.,Besides, running software at 10.000 meters implies new unexpected challenges, different from the ones we encounter day-to-day. We’ll focus on how we solved them.,Slides: ,https://www.slideshare.net/DZPM/python-in-the-sky/",David Arcos
Tuesday 21 July,Python idioms to help you write good code,"Best Practice,python,idioms,Coding,experience,design","Python focuses a lot on writing readable code and also tries to make solutions obvious, but this doesn’t necessarily mean that you cannot write unreadable code or design your code in ways which makes it hard to extend or maintain.,This talk will show some useful idioms to apply when writing Python code, how to structure your modules and also goes into details on which techniques to use and which to think about twice, based on 20 years of experience writing Python.",Marc-Andre Lemburg
Wednesday 22 July,"Python gure etxean: (r)eboluzioa atzo, gaur eta bihar","web,django,open-source,Plone","2000 urtean CodeSyntax sortu zenetik Python erabili dugu gure lan ia guztiak egiteko. Lan horiek egitean izandako (r)eboluzioa azalduko dugu hitzaldi honetan: python script arruntetatik, Zope aplikazioen zerbitzarian nabigatzaile baten programatzetik, fitxategi sisteman programatzera pasatu gara, Turbogears ere ikutu dugu eta orain Plone, Django eta Pyramid darabilgu.,Since the beginning of our company in year 2000 we have been using Python to do our work. We will explain the (r)evolution we faced working with python during this 15 years: small python scripts, browser-based-development using Zope Application Server, we touched Turbogears and now Plone, Django and Pyramid applications.,Aurkezpena Slidesharen dago,.",Mikel Larreategi
Wednesday 22 July,Python Gamedev MLG,"python,gamedev,c++,OpenGL","An overview of the currently available Python game development libraries and frameworks and how is Python currently being used in the videogame industry.,Presentation of Kobra, a modern open source Python game development framework with ECS (Entity Component System) architecture and C++ bindings.",Alejandro Garcia
Monday 20 July,Python for IT specialists' tasks automation,"system-administration,development-tools,DevOps,automation","This talks is about automation and the use of Python scripts to speed up repetitive tasks.,It’s for developers, sysops, devops, but also any kind of user that want improve his daily routine.,I will talk about the use of Python with different tools for different platforms: Keyboard Maestro/Alfred/Hazel on OsX and Synapse/Kupfer/AutoKey on Linux.,There will be presented some sample script to give an idea of the potentiality of Python mixed with great tools, and these are some of the topics that I will cover:",Gianluca Nieri
Friday 24 July, Python for Cloud Services and Infrastructure Management,"infrastructure,fabric,nosql,python,mongodb,DevOps,REST,django,rabbitmq,deployment,configuration,cloud","This talk is about how python is used in cloud computing as well as used while configuring cloud infrastructure. It also gives brief about tools and technologies/libraries can be used for number of tasks while cloud development/execution. Developers and all python lovers are the perfect audience for this talk. They will get the brief about reliable stack of python based tools used in cloud development and also will be sharing the experience with python.,Summary:
Python in cloud. 
Kind of services can be build with python.
Python based tools used in deployment and configuration management for the cloud.
For every python lovers - How to create a python friendly cloud infrastructure with great reliable combination of many stable tools.
Stability.
Experience sharing. ",Bhaumik Shukla
Tuesday 21 July,Python and PyPy performance (not) for dummies,"performance,JIT,profiling,PyPy","In this talk we would like to have a short introduction on how Python
programs are compiled and executed, with a special attention towards
just in time compilation done by PyPy. PyPy is the most advanced Python
interpreter around and while it should generally just speed up your programs
there is a wide range of performance that you can get out of PyPy, ranging from
slightly faster than CPython to C speeds, depending on how you write your
programs.,We will split the talk in two parts. In the first part we will explain
how things work and what can and what cannot be optimized as well as describe
the basic heuristics of JIT compiler and optimizer. In the next part we will
do a survey of existing tools for looking at performance of Python programs
with specific focus on PyPy.,As a result of this talk, an audience member should be better equipped with
tools how to write new software and improve existing software with performance
in mind.,The talk will be given by Antonio Cuni and Maciej Fijalkowski,
both long time PyPy core developers and expert in the area of
Python performance.",Antonio Cuni
Tuesday 21 July,"Python and PostgreSQL, a wonderful wedding","SQLAlchemy,postgresql,python,peewee,multicorn,dbapi","Python and PostgreSQL, two tools we like to use for our projects but do you know everything about them?,The talk will give an overview of psycopg2, Peewee, SQLAlchemy, Alembic and multicorn, PL/Python, these libraries can be used with PostgreSQL.,You can find this talk on  https://speakerdeck.com/matrixise/python-and-postgresql-a-wonderful-wedding-english",Stephane Wirtel
Monday 20 July,Python & Internet of Things,"BlE,IoT,wearables,distributed-computing","There is a lot buzz  about the Internet of things and how it’s going to be the next big thing in computing. Python can power “things” and is used extensively in network applications, however there isn’t much information out there about where Python can be used to build end-to-end IoT products.,Goals :
To put into perspective the usefulness of Python in building IoT products.
Spread awareness on possibilities of using Python on embedded hardware.",Ravi Vagadia
Monday 20 July,Python and elasticsearch 101,"development-process,elasticsearch,databases","Before its first major version, Elasticsearch was only used as a “secondary” database, and search engine.
The releases added a snapshort/restore feature, making it a great full featured database,This talk will focus on how we integrate Elasticsearch into our stack, and the multiple usage we make of it: from storing business   events to IOT devices metrics.",Benoît Calvez
Tuesday 21 July,PySpark and Warcraft Data,"data-science,bigdata,analytics,machine-learning,numpy,pandas","In this talk I will describe how to use Apache Spark (PySpark) with some data from the World of Warcraft API from an iPython notebook.  Spark is interesting because it speeds up iterative processes on your hadoop cluster as well as your local machine. ,I will give basic benchmarks (comparing it to numpy/pandas/scikit), explain the architecture/performance behind the technology and will give a live demo on how I used Spark to analyse an interesting dataset. I’ll explain why you might want to use Spark and I’ll also go in and explain when you don’t want to use it. ,The dataset I will be using is a 22Gb json blob containing auction house data from all world of warcraft servers over a period of time. The goal of the analysis will be to determine when and if basic economics still applies in a massively online game. ,I will assume that the everyone knows what the ipython notebook is and I will assume a basic knowledge of numpy/pandas but nothing fancy. The dataset has been chosen such that people who are less interested in Spark can still enjoy the analysis part of the talk. If you know very little about data science but if you love video games then you should like this talk.",vincent warmerdam
Wednesday 22 July,PySpark - Data processing in Python on top of Apache Spark.,"analytics,data-science,bigdata,distributed-systems","Apache Spark, is a computational engine for large-scale data processing. It
is responsible for scheduling, distribution and monitoring applications which
consist of many computational task across many worker machines on a computing
cluster.,This Talk will give an overview of PySpark with a focus on Resilient
Distributed Datasets and the DataFrame API. While Spark Core itself is written
in Scala and runs on the JVM, PySpark exposes the Spark programming model to
Python. It defines an API for Resilient Distributed Datasets (RDDs). RDDs are a
distributed memory abstraction that lets programmers perform in-memory
computations on large clusters in a fault-tolerant manner. RDDs are immutable,
partitioned collections of objects. Transformations construct a new RDD from a
previous one. Actions compute a result based on an RDD. Multiple computation steps
are expressed as directed acyclic graph (DAG). The DAG execution model is 
a generalization of the Hadoop MapReduce computation model.,The Spark DataFrame API was introduced in Spark 1.3. DataFrames envolve Spark’s
RDD model and are inspired by Pandas and R data frames. The API provides
simplified operators for filtering, aggregating, and projecting over large
datasets. The DataFrame API supports diffferent data sources like JSON
datasources, Parquet files, Hive tables and JDBC database connections.,Resources:",Peter Hoffmann
Thursday 23 July,Pycon - A teacher's perspective,"pyconuk,computing,raspberrypi,learning,teaching,education,python3","A perspective of the impact of the PyconUK education track from the point of view of teachers and educators. ,Having attended the education track at Pycon UK 2014 as a teacher, my talk will share both my experiences and those of other teachers attending. The  education track bought educators and developers together in a way that allowed the teachers to get support and advice whilst developers   get to support teachers in developing exciting & real applications for teaching computing. ,The talk will focus on two aspects of the education track. The  workshops delivered for teachers by python developers and how this helps build teachers confidence.  But also the breakout sessions where educators and developers with common interests can work together to develop something. This might be a program / library or a teaching resource, some developers gave a hands on and bespoke training session to a group of teachers.,If we are to get more young people programming or at least having  a positive experience of programming then we need to minimize obstacles to that experience. By having educators and developers working together we can identify those obstacles and eliminate them!,https://goo.gl/nt05hC",James Robinson
Friday 24 July,Preparing Apps for Dynamic Scaling,Scalability,"Scalability is a big problem for everyone who wants to grow. In order to handle the demand, appropriate infrastructure both in terms of software and hardware should be met. What if hardware was as dynamic as a service where CPU and RAM could have been acquired when only it’s needed. Is there such an environment? How can you work with it? What you should be careful of? How your applications should evolve?",roy simkes
Friday 24 July,Practical usage of advanced Python constructs,"python,core","Python is a language of choice for developers with wide range of experience, for some it is a first programming language, others switch to Python after years of experience. Python provides friendly syntax and smooth learning curve. This sometimes leads to developers lacking comprehension of some more advanced constructs. ,It happens that experienced developers jump into using Python and sometimes miss less known Python language constructs. On the other hands people who purposefully learned Python sometimes lack practical ideas for how to apply those constructs.,This talk will be specifically focused on the practical usages of advanced Python constructs like iterators, generators, decorators and context managers. Goal of the talk is to share ideas about how those constructs can be used for practical purposes in real projects. Prior knowledge is not required, there will be a brief introduction to every construct being presented.",Andrey Syschikov
Wednesday 22 July,Plone 5 and how to use machine learning with it.,"Plone,sklearn","Plone is a Document Management System and Content Management System that has been in the Python scope for more than 10 years. ,Plone 5’s features allow us to manage content, define various kinds of content and provide a nice useful UI to work on semantic web technologies. In this talk we are going to explain our approach for using Plone with the Python machine learning toolkit sklearn (http://scikit-learn.org/stable/) to enable clusterization and classification of content using a scalable content management system. We will also add some sophisticated front-end gloss using the new functionalities on frontend development added on Plone 5 and some real use cases of CMS/DMS with machine learning using sklean and solr.",Ramon Navarro Bosch
Wednesday 22 July,Playing with CPython Objects Internals,"python,low-level,cpython","I will explain how CPython objects are built, from simple objects
like int or None to complex ones like dict. To make it funnier, I
will play to change instance data directly using ctypes and do
“really bad things” like truncating tuples.",Jesús Espino
Friday 24 July,PyPy and the future of the Python ecosystem,PyPy,"Python has a great versatile ecosystem but the competition is getting better, this talk is about how Python can keep up with these new languages and where PyPy fits into this.,Recently we’ve seen the rise of new technologies like Go, Node.js and Julia, those have the ability to build an ecosystem on a clean slate and thus be better than Python in some aspects. What would it take to be as good as those technologies on those aspects without loosing all the things we love about Python ? This talk will describe my perfect future where Python keeps getting better, gets to keep it’s great set of libraries and where PyPy fits in that future.",Romain Guillebert
Monday 20 July,PIP Internals,"packaging,internals","pip is certainly one of the most used package in the Python ecosystem, but what actually happens when you pip install foo ? The talk will mainly focus on two aspects:",Xavier Fernandez
Thursday 23 July,Physical computing with Python and Raspberry Pi,"raspberrypi,education","With the Raspberry Pi, it’s easy to do physical computing directly from Python code - rather than usual embedded hardware engineering in C or Assembler. ,In this talk I’ll show examples of physical computing projects that use Python on Raspberry Pi and demonstrate the sort of code  used in such projects.,Physical computing with Python is very popular in education - as it’s so engaging, and more interesting than printing to the screen.,This will be an informative session with learning possibilities to give those new to physical computing a change to get started.",Ben Nuttall
Monday 20 July,"""New Trends In Storing Large Data Silos With Python""","python,bigdata,open-source,data-science,Database","My talk is meant to provide an overview of our current set of tools for storing data and how we arrived to these.  Then, in the light of the current bottlenecks, and how hardware and software are evolving, provide a brief overview of the emerging technologies that will be important for handling Big Data within Python.  Although I expect my talk to be a bit prospective, I won’t certainly be trying to predict the future, but rather showing a glimpse on what I expect we would be doing in the next couple of years for properly leveraging modern architectures (bar unexpected revolutions ;).,As an example of library adapting to recent trends in hardware, I will be showing bcolz (https://github.com/Blosc/bcolz), which implements a couple of data containers (and specially a chunked, columnar ‘ctable’) meant for storing large datasets efficiently.",Francesc Alted
Friday 24 July,Parallelism Shootout: threads vs asyncio vs multiple processes,Parallelism,"You need to download data from lots and lots of URLs stored in a text file and then save them on your machine. Sure, you could write a loop and get each URL in sequence, but imagine that there are so many URLs that the sun may burn out before that loop is finished; or, you’re just too impatient.,For the sake of making this instructive, pretend you can only use one box. So, what do you do? Here are some typical solutions: Use a single process that creates lots of threads. Use many processes. Use a single process and a library like asyncio, gevent or eventlet to yield between coroutines when the OS blocks on IO.,The talk will walk through the mechanics of each approach, and then show benchmarks of the three different approaches.",Shahriar Tajbakhsh
Thursday 23 July,Online Education: challenges and opportunities for Staff and Students,"ipython,education","From september 2015 Aarhus School of Engineering will offer the education Bachelor of Electronic Engineering, as a combined online  and on campus education. In the talk I will describe the technical and pedagogical setup, we are working at to meet the challenges of having both on-site and remote students.,I will also touch on how IPython Notebook, will be part of the technical setup, and how it can be incorporated into the teaching.",Anders Lehmann
Wednesday 22 July,Odoo the underdog python killer app. A python framework for web based business apps.,"web,wsgi,HTTP.,postgresql,python,javascript,django,werkzeug","Odoo is used by 2 millions of users, although relatively unknown in the python community, it has a vibrant community and is one of the most active python open source project.,I will present you the Odoo framework and how it can help to be more productive when building web based business apps.  I will highlight its advantages compared to more popular framework such as django.",Antony Lesuisse
Thursday 23 July,NumPy: vectorize your brain,"numpy,machine-learning","NumPy is the fundamental Python package for scientific computing. However, being efficient with NumPy might require slightly changing how you write Python code. ,I’m going to show you the basic idioms essential for fast numerical computations in Python with NumPy. We’ll see why Python loops are slow and why vectorizing these operations with NumPy can often be good. ,Topics covered in this talk will be array creation, broadcasting, universal functions, aggregations, slicing and indexing.
Even if you’re not using NumPy you’ll benefit from this talk.",Ekaterina Tuzova
Monday 20 July,"Numba, a JIT compiler for fast numerical code","data-science,python,analytics,JIT,performance,numpy","This talk will be a general introduction to Numba. Numba is an open source just­-in-­time Python compiler that allows you to speed up numerical algorithms for which fast linear algebra (i.e. Numpy array operations) is not enough. It has backends for the CPU and for NVidia GPUs. After the talk, the audience should be able to understand for which use cases Numba is adequate, what level of performance to expect, and have a general notion of its inner working.,A bit of familiarity with scientific computing and/or Numpy is recommended for optimal understanding, but the talk should otherwise be accessible to the average Python programmer. It should also be of interest to people who are curious about attempts at high-­performance Python.,View slides online",Antoine Pitrou
Tuesday 21 July,Nameko for Microservices,"Microservices,architecture,open-source","Microservices are popping up everywhere. This talk will explain what this fashionable new architecture is, including the pros and cons of adopting it, and then discuss an open-source framework that can help you do so – ,https://nameko.readthedocs.org,.,Nameko assists you in writing services with well-defined boundaries that are easy to test. By leveraging some neat design patterns and providing test helpers, it also encourages good service structure and clean code.",Matt Bennett
Monday 20 July,"Multibody Simulation using sympy, scipy and vpython","Mechanics,visualization,vpython,Engineering,scipy,sympy,education,Physics","The talk is about the implementation of multibody simulation in the scientific python world on the way to a stage usefull for engineering and educational purposes.
Multibody simulation (MBS) requires two major steps: first the formulation of the specific mechanical problem. Second step is the integration of the resulting equations.
For the first step we use the package sympy which is on a very advanced level to perform symbolic calculation and which supports already Lagrange’s and Kane’s formalism. The extensions we made are such that a complex mechanical setup can be formulated easily with several lines of python code. The functionality is analogous to well known MBS-tools, with that you can assemble bodies, joints, forces and constraints. Also external forces even in a cosimulation model can be added on top. The second step, the integration is done via ode-integrators implemented in scipy.
Finally for visual validation the results are visualized with the vpython package and for further analytics with matplotlib.,Conclusion: not only highly constrained pendulums with many rods and springs but also driving simulation of passenger cars an be performed with our new extension using python packages off the shelf.",Oliver Braun
Thursday 23 July,MkDocs: Documenting projects with Markdown,"documentation,markdown,open-source,mkdocs","MkDocs is a Python library for creating documentation with
Markdown. The primary goal of the project is to lower the barrier
for documentation writers and to help enable high quality prose
based documentation.,The primary maintainer of MkDocs will cover the following topics:,An introduction to MkDocs and the project goals.,Discuss what we need to do to create great documentation and
how MkDocs can help.,A tour of the key features currently in MkDocs,A look at the up and coming features in MkDocs and how you can
help make these happen.,A comparison with Sphinx and why you should consider MkDocs.",Dougal Matthews
Monday 20 July,Metrics-driven development,"metrics,technologies,servers,logging,real-time","At Spotify, my team struggled to be awesome.  We had a very loose understanding of what product/service our squad was responsible for, and even less so of the expectations our internal and external customers had for those services.  Other than “does our Facebook login work?”, we had no understanding of how our services we’re responsible for were doing.  How many users actually sign up or log in with Facebook? How many users have connected their Spotify account with their Uber account?  Do folks even use Spotify with Uber?  ,With a 2-month challenge period, my squad and I focused inward to establish those unanswered questions and to establish feedback loops and always-on dashboards.  This talk will tell the story of how we chose which metrics are important for us to focus on, what technologies we have used and are using, and how we’ve iterated over our feedback loops to fine-tune what metrics we care about.  ",Lynn Root
Wednesday 22 July,Metaprogramación en Python,"python,metaclass,metaprogramming","Según wikipedia:
“La metaprogramación consiste en escribir programas que escriben o manipulan otros programas (o a sí mismos) como datos, o que hacen en tiempo de compilación parte del trabajo que, de otra forma, se haría en tiempo de ejecución. Esto permite al programador ahorrar tiempo en la producción de código.”
En esta charla veremos diferentes mecanismos que Python proporciona como:
 - Decoradores
 - Metaclasses
 - Descriptors
A través de varios ejemplos veremos como reutilizar código en varias funciones y clases, como modificar como nuestras clases se generan, como se genera una clase (que funciones se llaman cuando una clase se crea) o como se genera una instancia.
Veremos también que fácilmente se nos puede ir de las manos y como utilizar con cuidado las herramientas que Python nos proporciona.",Raúl Cumplido
Wednesday 22 July,MAX: Realtime messaging and activity stream engine,"web,wsgi,open source,python,mongodb,rabbitmq,api,gevent,REST,websockets,restfull","What if I told you that we’ve built an open source “WhatsApp”-like RESTful API on the top of Pyramid? We’ve developed MAX: a real-time messaging service and activity stream that has become the key feature for a social intranet at the BarcelonaTech University,We will show how we designed and built MAX with performance in mind using state of the art Python technologies like Gevent, WSGI, and multi-threaded queue processing. We will also show you how we’ve managed to design a simple architecture guaranteeing both high scalability and performance, achieving connecting ratios over 30.000 students, teachers, and university staff.,The API is secured using oAuth 2.0 resource owner password credentials flow powered by our own oAuth server implementation (Osiris) also Pyramid-based. We are using MongoDB as general storage backend and RabbitMQ over websockets to support realtime and messaging.",Carles Bruguera
Tuesday 21 July,"Mashing up  py.test, coverage.py and ast.py to take TDD to a new level","Testing,py.test","Users and developers especially, hate waiting. Computing has adapted and we almost never wait for the computer for more then 10 seconds. One big exception is runnig a test suite which takes MINUTES on many projects. That is incredibly distracting, frustrating and dragging the whole concept of automated tests down. ,I present a technique and a tool (py.test plugin called “testmon"") which automatically selects only tests affected by recent changes. Does it sound too good to be true? Python developers rightfully have a suspecting attitude towards any tool which tries to be too clever about their source code. Code completion and symbol searching doesn’t need to be 100% reliable but messing with the test suite execution? I show that we can cut test suite execution time significantly but maintain it’s reliability.",Tibor Arpas
Monday 20 July,Machine Learning Under Test,"data-science,Testing,py.test,scipy,nose,machine-learning,numpy,sklearn","One point usually underestimated or omitted when dealing with 
machine learning algorithms is how to write ,good quality, code.
The obvious way to face this issue is to apply automated testing, which aims at implementing (likely) less-buggy and higher quality code.,However, testing machine learning code introduces additional concerns that has to be considered. On the one hand, some constraints are imposed by the domain, and the risks intrinsically related to machine learning methods, such as handling unstable data, or avoid under/overfitting. On the other hand,  testing scientific code requires additional testing tools (e.g., ,numpy.testing,), specifically suited to handle numerical data.,In this talk, some of the most famous machine learning techniques will be discudded and analysed from the ,testing, point of view, emphasizing that testing would also allow for a better understanding of how the whole learning model works under the hood.,The talk is intended for an ,intermediate, audience.
The content of the talk is intended to be mostly practical, and code
oriented. Thus a good proficiency with the Python language is ,required,.
Conversely, ,no prior knowledge, about testing nor Machine Learning 
algorithms is necessary to attend this talk.,Slides,: ,https://speakerdeck.com/valeriomaggio/machine-learning-under-test-at-europython2015",Valerio Maggio
Tuesday 21 July,Lessons learned about testing and TDD,"Testing,unit-te,tdd","One day our software will go in production, and so shortly we will pay dearly for our youthful mistakes. Without regression tests, we will be in deep trouble. If we have regression tests, but we did not have performed TDD, we should probably increase the effort in bug fixing and
maintenance, since we do not have enough code coverage and our tests come out complex.,By retracing the author youthful mistakes, we will see a complete development workflow, from the user story to the low-level tests, in order to highlight the differences between functional, integration and unit tests, the best practices, and the lessons learned by the author during the development of the ,Sardinia Radio Telescope,  control software.,Slides available here,.",Marco Buttu
Wednesday 22 July,Lecciones aprendidas en un proyecto grande de Django,"python,Beginners,postgresql,open-source,django","Un proyecto hecho en Django durante dos años da para muchas anécdotas y mucho aprendizaje.  Esta charla es un repaso por las decisiones sobre lo humano y lo técnico que fuimos tomando durante el desarrollo del proyecto.,Señalaré las buenas decisiones que tomamos en el equipo, y también las que no nos salieron bien y nos hicieron aprender por las malas. ,Tanto las buenas como las malas decisiones nos enseñaron muchísimo y aquí las compilo junto con unos cuantos tips que pueden divertir y, ojalá, inspirar a la audiencia, especialmente a aquellas personas que se enfrentan por primera vez a un proyecto grande.",Yamila Moreno
Monday 20 July,Knowing your garbage collector,"cpython,reference,collection,garbage,counting,PyPy","As Python programmers we’re used to program without taking care about allocating
memory for our objects and later on freeing them, Python garbage collector
takes care of this task automatically for us.,Garbage collection is one of the most challenging topics in computer science,
there are a lot of research around the topic and different ways to tackle
the problem.,Knowing how our language does this process give us a better understanding
of underlying interpreter and allow us to know why problems like cycles
can happen in CPython interpreters.,So, this talk aims to be and introduction to the topic and a walkaround
through different approaches followed in CPython and PyPy:",Francisco Fernández Castaño
Wednesday 22 July,Karakate magaletik EuroPythoneko tontorrera,"Euskara,python,PySS,EuroPython,Inspirational,MAL","Orain dela urte batzuk asi genuen bidea azalduko dut, Python San Sebastian elkartea nola sotu genuen eta hortik pixkanaka pixkanaka nola sortzen joan den EuroPython sortzeko grina. ,Gendeari nahi izan eskero eta lan egin eskero EuroPython bezelako kongresu bat antolatzea posible dela erakustea du helburu hitzaldi honek.",oier etxaniz
Wednesday 22 July,"Lessons learned with asyncio (""Look ma, I wrote a distributed hash table!"")","introduction,asyncio","This talk introduces the asyncio module. I’ll cover what it’s for, how it works and describe how I used it to write a real-world networked application (a distributed hash table). We’ll explore the event loop, coroutines, futures and networking with examples from my code. This won’t be an exhaustive exposition. Rather, attendees will grasp enough of asyncio to continue with their own studies.,By the end of this introductory talk I hope attendees will want to learn more about asyncio and perhaps give it a try in their own projects.",Nicholas Tollervey
Monday 20 July,Less known packaging features and tricks,"virtualenv,python,pip,setuptools,packaging","You’ve been making packages for a while now. Everything works almost fine, however, lots of new features and tools have been developed recently. Some are really obscure. And there’s a chance they can save you time and help you avoid ,packaging-induced-pain,. I’m willing to bet couple of beers you haven’t seen these features and/or tools before.,This talk is going to show you:,Slides (HTML with notes)",Ionel Cristian Mărieș
Friday 24 July,Learnt lessons in a big Django Project,"python,Beginners,postgresql,open-source,django","A Django project, developed for 2 years is a valuable source of anecdotes and wisdom. This talk is a review on the decissions, about human and tech, that my team took during the project. I’ll point out the good decissions as well as the bad ones, those which made us learn “the hard way”.,Both good and bad decissions taught us a lot, and here I compile them, together with a handful of tips which can amuse and, hopefully, inspire the audience, specially those who are facing for the first time a big project.",Yamila Moreno
